"object","size","distance","Effort","lon","lat","x","y","elev","hab","hab_name"
"R19PTDC0994-1",1,254.367777939674,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC0994-2",1,341.085421363037,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC0994-3",1,224.717344756595,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC0994-4",1,213.403840681189,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC0994-5",1,190.331190287317,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC2962-1",1,164.897370014284,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC2962-2",1,190.314287829138,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC3916-1",1,128.933241333418,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC4795-1",1,40.4313513588626,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC4795-2",1,213.576926069209,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC4795-3",1,182.480063307255,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC4795-4",1,145.377504269396,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC4795-5",1,146.749120205488,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC4795-6",1,154.044473304927,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC4796-1",1,230.463494152685,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC5037-1",1,105.295975862411,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC5091-1",1,80.9594601252686,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC6491-1",1,45.5807381642653,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC6491-2",1,98.996146650021,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC8012-1",1,147.832540059726,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC8013-1",1,141.876982900291,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC8014-1",1,145.090019731101,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R19PTDC8016-1",1,80.1447249901269,7712,98.8560216680847,43.0495651239041,488274,4766329,1404,18,"Higher and intermediate dry steppe/ shrub communities"
"R24PTDC1269-1",1,93.6652349967112,7579,97.5316840202237,43.2338362056731,380774,4787829,1461,18,"Higher and intermediate dry steppe/ shrub communities"
"R24PTDC1270-1",1,71.7447158211038,7579,97.5316840202237,43.2338362056731,380774,4787829,1461,18,"Higher and intermediate dry steppe/ shrub communities"
"R24PTDC2735-1",1,60.3617966888386,7579,97.5316840202237,43.2338362056731,380774,4787829,1461,18,"Higher and intermediate dry steppe/ shrub communities"
"R24PTDC3922-1",1,160.212144108017,7579,97.5316840202237,43.2338362056731,380774,4787829,1461,18,"Higher and intermediate dry steppe/ shrub communities"
"R24PTDC3923-1",1,155.001108894287,7579,97.5316840202237,43.2338362056731,380774,4787829,1461,18,"Higher and intermediate dry steppe/ shrub communities"
"R24PTDC3924-1",1,149.498576225635,7579,97.5316840202237,43.2338362056731,380774,4787829,1461,18,"Higher and intermediate dry steppe/ shrub communities"
"R24PTDC3925-1",1,104.353182287836,7579,97.5316840202237,43.2338362056731,380774,4787829,1461,18,"Higher and intermediate dry steppe/ shrub communities"
"R27PTDC7808-1",1,55.0398923008532,5373,98.3259416959503,43.2412742766298,445274,4787829,NA,34,"Salty haloxylon semi-desert"
"R27PTDC7808-2",1,82.4525724543812,5373,98.3259416959503,43.2412742766298,445274,4787829,NA,34,"Salty haloxylon semi-desert"
"R28DSCF0914-1",1,110.405836231318,12497,98.5907477044546,43.2425281223764,466774,4787829,1272,34,"Salty haloxylon semi-desert"
"R28DSCF0914-2",1,170.220591315056,12497,98.5907477044546,43.2425281223764,466774,4787829,1272,34,"Salty haloxylon semi-desert"
"R28DSCF0914-3",1,183.248807251849,12497,98.5907477044546,43.2425281223764,466774,4787829,1272,34,"Salty haloxylon semi-desert"
"R28DSCF0914-4",1,238.730065644814,12497,98.5907477044546,43.2425281223764,466774,4787829,1272,34,"Salty haloxylon semi-desert"
"R28DSCF0915-1",1,283.646281723981,12497,98.5907477044546,43.2425281223764,466774,4787829,1272,34,"Salty haloxylon semi-desert"
"R28DSCF0915-2",1,46.1575912521586,12497,98.5907477044546,43.2425281223764,466774,4787829,1272,34,"Salty haloxylon semi-desert"
"R28DSCF0915-3",1,286.888533952974,12497,98.5907477044546,43.2425281223764,466774,4787829,1272,34,"Salty haloxylon semi-desert"
"R28DSCF0915-4",1,255.060749438614,12497,98.5907477044546,43.2425281223764,466774,4787829,1272,34,"Salty haloxylon semi-desert"
"R28DSCF0915-5",1,362.276195854355,12497,98.5907477044546,43.2425281223764,466774,4787829,1272,34,"Salty haloxylon semi-desert"
"R28DSCF0916-1",1,108.455505743807,12497,98.5907477044546,43.2425281223764,466774,4787829,1272,34,"Salty haloxylon semi-desert"
